gene_combination_unordered,Type,LN_mean,Geo_mean,50_percentile,60_percentile,70_percentile,80_percentile,90_percentile,95_percentile,96_percentile,97_percentile,98_percentile,99_percentile,LN_mean_relative,Geo_mean_relative,50_percentile_relative,60_percentile_relative,70_percentile_relative,80_percentile_relative,90_percentile_relative,95_percentile_relative,96_percentile_relative,97_percentile_relative,98_percentile_relative,99_percentile_relative,Bootstrap_id,70_percentile_relative_95P,70_percentile_relative_5P,70_percentile_relative_fraction_greater_than_one,70_percentile_relative_bootstrap_median,70_percentile_relative_bootstrap_mean,70_percentile_relative_97.5P,70_percentile_relative_2.5P,LN_mean_relative_95P,LN_mean_relative_5P,LN_mean_relative_fraction_greater_than_one,LN_mean_relative_bootstrap_median,LN_mean_relative_bootstrap_mean,LN_mean_relative_97.5P,LN_mean_relative_2.5P,90_percentile_relative_95P,90_percentile_relative_5P,90_percentile_relative_fraction_greater_than_one,90_percentile_relative_bootstrap_median,90_percentile_relative_bootstrap_mean,90_percentile_relative_97.5P,90_percentile_relative_2.5P,60_percentile_relative_95P,60_percentile_relative_5P,60_percentile_relative_fraction_greater_than_one,60_percentile_relative_bootstrap_median,60_percentile_relative_bootstrap_mean,60_percentile_relative_97.5P,60_percentile_relative_2.5P,98_percentile_relative_95P,98_percentile_relative_5P,98_percentile_relative_fraction_greater_than_one,98_percentile_relative_bootstrap_median,98_percentile_relative_bootstrap_mean,98_percentile_relative_97.5P,98_percentile_relative_2.5P,50_percentile_relative_95P,50_percentile_relative_5P,50_percentile_relative_fraction_greater_than_one,50_percentile_relative_bootstrap_median,50_percentile_relative_bootstrap_mean,50_percentile_relative_97.5P,50_percentile_relative_2.5P,Geo_mean_relative_95P,Geo_mean_relative_5P,Geo_mean_relative_fraction_greater_than_one,Geo_mean_relative_bootstrap_median,Geo_mean_relative_bootstrap_mean,Geo_mean_relative_97.5P,Geo_mean_relative_2.5P,96_percentile_relative_95P,96_percentile_relative_5P,96_percentile_relative_fraction_greater_than_one,96_percentile_relative_bootstrap_median,96_percentile_relative_bootstrap_mean,96_percentile_relative_97.5P,96_percentile_relative_2.5P,95_percentile_relative_95P,95_percentile_relative_5P,95_percentile_relative_fraction_greater_than_one,95_percentile_relative_bootstrap_median,95_percentile_relative_bootstrap_mean,95_percentile_relative_97.5P,95_percentile_relative_2.5P,99_percentile_relative_95P,99_percentile_relative_5P,99_percentile_relative_fraction_greater_than_one,99_percentile_relative_bootstrap_median,99_percentile_relative_bootstrap_mean,99_percentile_relative_97.5P,99_percentile_relative_2.5P,97_percentile_relative_95P,97_percentile_relative_5P,97_percentile_relative_fraction_greater_than_one,97_percentile_relative_bootstrap_median,97_percentile_relative_bootstrap_mean,97_percentile_relative_97.5P,97_percentile_relative_2.5P,80_percentile_relative_95P,80_percentile_relative_5P,80_percentile_relative_fraction_greater_than_one,80_percentile_relative_bootstrap_median,80_percentile_relative_bootstrap_mean,80_percentile_relative_97.5P,80_percentile_relative_2.5P,70_percentile_relative_pvalue,70_percentile_relative_pvalue_FDR,70_percentile_relative_pvalue_twoside,70_percentile_relative_pvalue_twoside_FDR,LN_mean_relative_pvalue,LN_mean_relative_pvalue_FDR,LN_mean_relative_pvalue_twoside,LN_mean_relative_pvalue_twoside_FDR,90_percentile_relative_pvalue,90_percentile_relative_pvalue_FDR,90_percentile_relative_pvalue_twoside,90_percentile_relative_pvalue_twoside_FDR,60_percentile_relative_pvalue,60_percentile_relative_pvalue_FDR,60_percentile_relative_pvalue_twoside,60_percentile_relative_pvalue_twoside_FDR,98_percentile_relative_pvalue,98_percentile_relative_pvalue_FDR,98_percentile_relative_pvalue_twoside,98_percentile_relative_pvalue_twoside_FDR,50_percentile_relative_pvalue,50_percentile_relative_pvalue_FDR,50_percentile_relative_pvalue_twoside,50_percentile_relative_pvalue_twoside_FDR,Geo_mean_relative_pvalue,Geo_mean_relative_pvalue_FDR,Geo_mean_relative_pvalue_twoside,Geo_mean_relative_pvalue_twoside_FDR,96_percentile_relative_pvalue,96_percentile_relative_pvalue_FDR,96_percentile_relative_pvalue_twoside,96_percentile_relative_pvalue_twoside_FDR,95_percentile_relative_pvalue,95_percentile_relative_pvalue_FDR,95_percentile_relative_pvalue_twoside,95_percentile_relative_pvalue_twoside_FDR,99_percentile_relative_pvalue,99_percentile_relative_pvalue_FDR,99_percentile_relative_pvalue_twoside,99_percentile_relative_pvalue_twoside_FDR,97_percentile_relative_pvalue,97_percentile_relative_pvalue_FDR,97_percentile_relative_pvalue_twoside,97_percentile_relative_pvalue_twoside_FDR,80_percentile_relative_pvalue,80_percentile_relative_pvalue_FDR,80_percentile_relative_pvalue_twoside,80_percentile_relative_pvalue_twoside_FDR
Arid1a_Keap1_Lkb1,Experiment,583.7199973461097,266.54782760469584,172.92912040990603,221.05084169358952,314.2301361663923,612.1407923822479,1977.5423921443835,3874.124793165505,5496.204027821976,6640.532226811211,9216.647180278116,12491.656091512119,1.5692170735869297,1.0946857285748057,0.9753645799119751,1.0135828521993238,1.1120255374332884,1.3876147822995923,2.0714285714285716,2.1784962561155923,2.6697460712534595,2.541048509931417,2.84026702752536,2.5831573568843433,Real,1.2125352557142404,0.9530724556430199,0.8,1.0926830636130638,1.0855131866653895,1.2311290710240952,0.9338748238606189,1.8629328825910978,1.3464426632685336,1.0,1.5653298001468323,1.5891416662702746,1.8923259205290608,1.2981781473042644,2.439095982516825,1.5874390137781655,1.0,2.1365039684152967,2.05725367007303,2.493359588267843,1.5809535494422744,1.0822727658708766,0.9091365917609638,0.7,1.02467167107235,1.0079818899829882,1.094829807359008,0.8893087428884127,3.8742913441956324,2.167542627431939,1.0,3.0304165350337424,2.986895740927903,4.010428915534876,2.131838773587097,1.0237546007601022,0.9125296790529661,0.5,0.9941014829921204,0.9802462809053074,1.024212054492289,0.8964601853847238,1.1792482762012422,0.9824048631720775,0.9,1.0934662424090489,1.0901392832325771,1.188827482166934,0.9622887929934297,3.2794359071549817,2.0968296145980454,1.0,2.6443249065438597,2.6845309732990197,3.3378476960852677,2.0786875371056857,2.9566993650266045,1.9062817220148232,1.0,2.292730168998232,2.4171117425011617,2.9758307474489163,1.8787559428347016,4.079570159975797,1.8293791044585332,1.0,2.674552953689867,2.805073036660243,4.285964856687582,1.7919057869157007,3.5696782465053447,2.1435125777848425,1.0,2.6192178406543656,2.764406472094943,3.569859574499271,2.1274181035929614,1.7233954803794584,1.0782350958605686,0.9,1.3020269319272868,1.3785727462937512,1.7256376916273093,1.038978467129993,0.19999999999999996,0.2053763440860215,0.3999999999999999,0.410752688172043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.3097297297297298,0.6000000000000001,0.6194594594594596,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.09999999999999998,0.10437158469945355,0.19999999999999996,0.2087431693989071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.10730337078651686,0.19999999999999996,0.21460674157303372
Arid1a_Keap1_Mga,Experiment,440.77747422887217,258.57401811964513,184.11601582033916,229.41820239179978,329.869781881882,593.5002367881686,1230.0225367392868,2186.96294243886,2531.923464725445,3176.069464017821,4003.2595549773514,6287.65239710331,1.1849440508414661,1.061938076777753,1.0384615384615385,1.0519496516961944,1.1673725058819935,1.34535994351984,1.2884193209835282,1.2297720999518311,1.2298656833785482,1.2153463462455991,1.233672711369311,1.3002275621520727,Real,1.245523577511805,1.0927177983797833,1.0,1.1928678021234482,1.1786447698404117,1.2472542681934369,1.080996324597047,1.32233444891275,1.1421104252804046,1.0,1.1890367102971098,1.211417626692318,1.3388360168396145,1.1393850618769346,1.6013916667790802,1.1420121889386998,1.0,1.3265718954854318,1.3424992703506722,1.6549021614774744,1.1290468252196357,1.0970617951081425,1.0313220268673002,1.0,1.0656539216333525,1.0654433552731741,1.0984336358452578,1.0270901287675593,1.5152521333139997,1.050555427196681,1.0,1.2465700021022608,1.267603069175232,1.561780898595347,1.0385067073113787,1.092923451809535,1.0096164077397713,1.0,1.0635224045716778,1.053982690627344,1.098185863835802,1.0091040730021283,1.1159448433016546,1.04507841924795,1.0,1.0615762316941324,1.0732540240416284,1.1249545719533303,1.0442676029879805,1.5864419203216107,1.0826592485380155,1.0,1.216906868311302,1.2750520468302207,1.5992094302009026,1.0791204177173879,1.5662660481761967,1.1166494937072107,1.0,1.3047840728406541,1.328179425215146,1.570349858983555,1.114257689392179,1.4996017212379267,1.0582694662263563,1.0,1.2178674996718089,1.2633055592048117,1.5274099921075663,1.048529462875773,1.6203124006490164,1.0325602882171476,0.9,1.2159265539421484,1.2670019851958991,1.6315847717530796,1.0046306032385415,1.5203951602579544,1.1562958156073244,1.0,1.4201077405560885,1.3589371381028883,1.5358755879829766,1.1420328156181747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.10852272727272728,0.19999999999999996,0.21704545454545457,0.0,0.0,0.0,0.0
Arid1a_Keap1_Rb1,Experiment,684.4986056893232,301.9711712607233,192.50160418003486,251.85523728831586,392.74434514176977,756.5352438864911,2225.6597573568533,4512.289781499345,5501.76023417958,7297.484086086689,8796.956641305327,12237.045202530013,1.8401406560982403,1.2401659191549483,1.0857584069610837,1.1548300282243695,1.389878599196152,1.714931435400883,2.331325603932319,2.5373489291946574,2.6724449630739233,2.7924359719737852,2.7109322297087,2.530506212296406,Real,1.560390928121617,1.193742843114793,1.0,1.3580597958635114,1.363228630091289,1.5665068205681005,1.1617336353329537,2.071005741893151,1.5628347656991124,1.0,1.8272622137941963,1.7984980456371051,2.098774337399738,1.5449819677536454,2.7061220225220746,2.0407496680793598,1.0,2.3828323261939914,2.3458036016316677,2.730720585729123,2.031674452788278,1.20285585833975,1.0735216218095607,1.0,1.1543151487999612,1.143379896273228,1.2126262546539148,1.068333457919594,3.0568539778375627,2.2511422714330864,1.0,2.7780113021736303,2.730772739723723,3.0718041874146,2.1801782139263306,1.1248606237108993,0.9766053712300781,0.9,1.0693482721237646,1.0655066776670836,1.1248803211446772,0.9621439671881288,1.296799492537196,1.1393535531035521,1.0,1.2302373733719176,1.2224159695582073,1.3004775243492492,1.1243462679897065,3.168129061773699,2.0429287350629046,1.0,2.7741746992693943,2.661880339915981,3.1847848258616445,2.0075638297610827,3.104394326357144,1.991376372199161,1.0,2.619559189979335,2.565697420183364,3.1391419195324257,1.9799814377508496,5.038588165127644,2.032901809751523,1.0,2.488935219885271,2.8737974264716915,5.907465374244563,2.023767978046493,3.50508897256391,1.9970750385829057,1.0,2.642957783586094,2.6795872618911885,3.5716165484514923,1.9741190445439376,2.01186548847131,1.4071502882846267,1.0,1.691021245505406,1.6929373247743709,2.0205758041037205,1.3669566654382515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.1123529411764706,0.19999999999999996,0.2247058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arid1a_Keap1_Rbm10,Experiment,497.0107708455133,262.37540593423176,175.7070792949045,219.78021978021977,327.6023446447976,620.7024107390655,1574.5943229935124,2751.8853665511215,3355.002954948402,4478.159747892027,5466.33426158857,8728.05294619983,1.3361162730646312,1.0775500028879805,0.9910329803205165,1.0077566785772143,1.1593482974374227,1.4070224550771142,1.6493500629946805,1.5474390445209372,1.6296712990777942,1.7136007726417126,1.6845441363801565,1.8048795143000904,Real,1.2664156206185682,1.085205258902609,1.0,1.145766021111692,1.1683527771274913,1.267367348828279,1.0798022558260754,1.5206473223785344,1.2254554304105103,1.0,1.3979237917829939,1.3840216229767126,1.5450230561827378,1.197510401637869,1.9924932088718508,1.4473670617955066,1.0,1.685033722622065,1.6850870300539587,2.050295298569308,1.446196619902989,1.0985071983222807,0.9549005023545203,0.4,1.0,1.015958295004531,1.104714688545032,0.9464193560906351,2.2939803228955933,1.377177134124155,1.0,1.7783691535110844,1.8412201470975689,2.3187303829027415,1.2792917491321685,1.060241850650588,0.9550797951257022,0.4,0.9855662774495435,0.9990958441797103,1.0628282631038335,0.9524376134113917,1.1529284837420768,1.0374440547422497,1.0,1.0946418222176364,1.0927956841831852,1.1656107858219367,1.0323275746815688,2.20921390893122,1.4049867613124234,1.0,1.8158464485615697,1.809503084378207,2.2411821737245643,1.3428862209456167,2.0415110120740323,1.3687330530898132,1.0,1.6638353928025977,1.6755100843025388,2.0790792343906555,1.3446289281504853,2.775814675849033,1.2079037554617131,1.0,1.6773519163763067,1.8722091465173658,2.78593793943921,1.1544606543392966,2.5182375517895594,1.4109653008533438,1.0,1.8938582656715557,1.9527274658599794,2.549215145865773,1.3298493451009754,1.6087657681207348,1.2684748667470847,1.0,1.4498121340221122,1.4365098918633665,1.6382402023915559,1.2615101606462695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4042328042328043,0.8,0.8084656084656086,0.0,0.0,0.0,0.0,0.4,0.40855614973262033,0.8,0.8171122994652407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arid1a_Keap1_Safe,Experiment,462.85967063649434,270.0804541240487,192.72583514528563,245.48802109378553,345.87615586408646,579.1703311480624,1247.2778294893558,2416.601607142808,2999.4677496915406,3597.1315156377063,4293.678845243084,6025.848189304963,1.2443077179809943,1.1091938784624709,1.0870231271002173,1.1256344770942472,1.2240172849190172,1.3128765848830362,1.3064938292989219,1.3589024191917984,1.4569723394645826,1.3764688379846628,1.323170369049442,1.246088906678112,Real,1.2812761391672478,1.137312384310646,1.0,1.1864420305780672,1.2021139667494478,1.285525815398092,1.1284071533716407,1.4141197871087612,1.0683509441781855,1.0,1.2049381891940074,1.2266111462773037,1.4501088361748826,1.0556430806366155,1.5567952068867053,1.1158725279393313,1.0,1.2777376040309765,1.3098354842542335,1.6101916862812917,1.1080625296766315,1.1856123546622812,1.071587679419886,1.0,1.1444270015698588,1.133429155142108,1.1928061773311405,1.06589642310754,1.5844538553509324,1.0410062996208935,1.0,1.3095675258520827,1.2981805868616294,1.6196605559940505,1.033224010704618,1.1441112365434598,1.0490725087686938,1.0,1.103174881419501,1.10261702985222,1.1482722315366,1.0421361946813692,1.1729366250621789,1.0286920435598836,1.0,1.1025859414126993,1.1026201875308672,1.1808236414857378,1.0226640855819855,1.932196272248719,1.062518194752919,0.9,1.3941275184578203,1.418550394187386,2.058509507126148,1.0207935633297878,1.7172357772444258,1.0273690242602747,0.9,1.386765064026127,1.3538674940459836,1.7768297065380834,0.9855275988123413,1.5236763144008905,0.9683218594220698,0.8,1.1399988038970186,1.2003007296776287,1.5488111129160682,0.965545388168769,1.718259576323014,0.9575994643869835,0.9,1.3501006926725965,1.3487280004951498,1.7826457000795972,0.9166675566192801,1.4884141968011055,1.1135028361269639,1.0,1.252619266499976,1.2792437080235728,1.5061118603053147,1.097135471167406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.10790960451977402,0.19999999999999996,0.21581920903954804,0.09999999999999998,0.10852272727272728,0.19999999999999996,0.21704545454545457,0.19999999999999996,0.22080924855491332,0.3999999999999999,0.44161849710982665,0.09999999999999998,0.10852272727272728,0.19999999999999996,0.21704545454545457,0.0,0.0,0.0,0.0
Arid1a_Keap1_Tet2,Experiment,394.889367748348,238.78192017182315,172.77963019096694,218.21157430558713,286.5839422167923,466.64918678082904,1110.281896165869,2026.3031226297344,2326.6064374145117,2820.8582408198035,3231.9415137870183,6749.141747689459,1.061582849424347,0.980653875901926,0.9745214167463332,1.0005639796393309,1.0141887288449818,1.0578110751371326,1.1629938509505058,1.1394299363282356,1.1301342461447634,1.079422158456261,0.9959779013937116,1.395659232889502,Real,1.0501373205991422,0.9649687060335947,0.7,1.0149952348744014,1.0093318520455206,1.0526532657185002,0.9603442607955864,1.1318125412004454,0.988390904172431,0.8,1.0678656815905387,1.0670026681601317,1.1361448321350351,0.9836602151419883,1.4508646661789784,1.0097762191815973,0.9,1.182723223527633,1.2092343814719804,1.506916465488472,0.9756799386152042,1.0547944832455716,0.9756906496616521,0.6,1.0150226422623687,1.0158140962366424,1.0551750194005636,0.9690473069192926,1.259853770669712,0.809527674505751,0.6,1.0155870201614126,1.0126416771118274,1.2981942845164705,0.794518848388733,1.0226084097974448,0.9552984217485877,0.3,0.9847661045898299,0.9874364504503561,1.0271499413255165,0.9535783715509465,1.013845027465089,0.951940275164136,0.3,0.9912945254745087,0.9862353154952684,1.0164080592801383,0.9516287956600545,1.353086008837262,0.9724901945390707,0.8,1.1723355969250504,1.1618139649101957,1.3709490135113374,0.9689307787767696,1.4856783937074647,1.0105060777220287,0.9,1.1976902350519443,1.2166086949857728,1.5313694518250633,0.9981924998618679,1.2824116329742294,0.9034941188348422,0.5,1.0523387175574752,1.0660906475965732,1.283268694823474,0.8971572630314737,1.2508140142599842,0.9207844850095787,0.8,1.0758651042455218,1.0926104848280966,1.251337445334605,0.9047950535408958,1.1465399071003162,0.9883444084834858,0.9,1.06756204264636,1.062635661223723,1.150490308646792,0.9735902096979417,0.30000000000000004,0.30478723404255326,0.6000000000000001,0.6095744680851065,0.19999999999999996,0.2053763440860215,0.3999999999999999,0.410752688172043,0.09999999999999998,0.10611111111111111,0.19999999999999996,0.21222222222222223,0.4,0.4042328042328043,0.8,0.8084656084656086,0.4,0.40210526315789474,0.8,0.8042105263157895,0.3,0.3183333333333334,0.6,0.6366666666666668,0.3,0.3064171122994653,0.6,0.6128342245989306,0.19999999999999996,0.21222222222222215,0.3999999999999999,0.4244444444444443,0.09999999999999998,0.10852272727272728,0.19999999999999996,0.21704545454545457,0.5,0.5,1.0,1.0,0.19999999999999996,0.2087431693989071,0.3999999999999999,0.4174863387978142,0.09999999999999998,0.10730337078651686,0.19999999999999996,0.21460674157303372
Arid1a_Keap1_Trp53,Experiment,897.4945757491074,380.08285416638245,235.47880690737833,306.8600263672319,506.1663249429549,1136.7080933616246,3203.2617277917543,6300.455665015623,7529.591152602565,8390.258577230135,11895.818303937878,14773.494544242285,2.412738672857365,1.560962923130528,1.328160850138872,1.407043096367809,1.791266383270346,2.576715966550439,3.3553403917254867,3.5428696314255372,3.6574509053972517,3.2105941703783936,3.6658993051622772,3.0550201541956326,Real,2.0310050037972562,1.4827950604625957,1.0,1.8794972533939815,1.8343741746045485,2.0682676060273266,1.3863055355048521,2.8968359461329833,1.996330305307004,1.0,2.5091326703244072,2.501811120737192,2.9225186185312677,1.9482604999088708,4.1736823670401275,2.35044414380355,1.0,3.4852865492662355,3.4380775205280045,4.186834994114739,2.2958604431014833,1.5283832260808619,1.3340044181272634,1.0,1.4629478899800739,1.4485923513284669,1.5338911616463462,1.3085554037366827,4.073154044633306,3.1179092322453807,1.0,3.5125418436342755,3.5617310893670195,4.123294819955951,3.089709101422467,1.4096436055615817,1.278781538221215,1.0,1.354423747509251,1.3520533162737205,1.4162271359882477,1.2724875937387508,1.7054452529078463,1.4207012478332568,1.0,1.5933863836472724,1.581380964217803,1.7230419148460427,1.3919013715342572,4.3938623563479915,3.265576783611252,1.0,3.7813138603669136,3.8038956698888997,4.433475030890503,3.212831251619634,4.676582878840401,2.7684524789561356,1.0,3.8651967796117996,3.7999979082717266,4.831532996074624,2.634711537046315,3.933906188337996,2.4203144489669937,1.0,3.1569014720450177,3.128925476991557,3.9482529563805686,2.411973767335163,4.147508509870241,3.0556248915162447,1.0,3.5598764941964287,3.6032422434029856,4.222306787184865,2.970547032646183,3.524583584117881,1.904433159878793,1.0,2.678862870042556,2.681652070027194,3.6746030597599924,1.8134464485234565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arid1a_Keap1_Tsc2,Experiment,624.853877362602,296.8569847783946,190.95104360107086,245.9764490393243,365.0725875320239,725.9770585720814,2097.8086618093816,3894.2459679338103,4785.295876003661,6343.306342122809,8493.751810593803,11824.485486161379,1.6797974667861078,1.219162457953313,1.0770128477160912,1.1278740622789953,1.2919513236549958,1.6456614403438523,2.197404625420046,2.189810786813914,2.3244269681540213,2.4273128385117198,2.6174944896703143,2.445192731146706,Real,1.3243616925115993,1.1152140837564777,1.0,1.219872730340291,1.2093384624179735,1.3354093124144382,1.1096824501022364,1.8992017427367969,1.453386081142708,1.0,1.6603709722217572,1.6496340170218644,1.9085339289827874,1.4449253330661982,2.884102849485548,1.7732246509043132,1.0,2.0625701073833325,2.18602624804696,3.014712584217812,1.7512127368402315,1.1592701667656082,1.0376724007274933,1.0,1.1179088727751085,1.1031308700886735,1.1614890811417489,1.036038382843286,3.483163846352327,2.0153412712408993,1.0,2.458594913171614,2.6304169664711083,3.547545763636931,2.0075213620161887,1.0922882395926212,0.9873253035298588,0.9,1.0352435654938206,1.0431672396628968,1.0927256335256539,0.9758263036553105,1.2456961108352382,1.1232868913801082,1.0,1.2008873155768742,1.1892544677371082,1.2470199107223812,1.121189920858678,3.312821997807927,1.7999126350928774,1.0,2.258801542253912,2.401494911843742,3.357511350618121,1.7994719137299355,3.224396990132897,1.8739455037450596,1.0,2.110808647752674,2.3671500529658265,3.263633295254405,1.8438785444926082,3.556476765835868,1.7534524746924303,1.0,2.2920378333392044,2.5158593798694247,3.563675672970416,1.7309893359737965,3.292198667261838,1.7377386931570538,1.0,2.3529296492971006,2.485706767759577,3.3054743336309143,1.7318202673966547,1.9638425427586257,1.292082612373295,1.0,1.5969168601264827,1.5858292009925516,2.0544266757297196,1.2818129917547643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.1123529411764706,0.19999999999999996,0.2247058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arid1a_Lkb1_Mga,Experiment,869.4748079102695,329.56627256465197,190.96695968475296,259.1262444878847,436.4522523070501,921.7115510984024,3050.874733962861,6685.20337704746,7941.483296123784,9995.780879100561,13642.464323556109,19544.78570334753,2.3374130059442004,1.3534962878450534,1.0771026185091053,1.1881697258217054,1.5445560262199496,2.089356875471512,3.195718643951478,3.7592208061964296,3.857524888528061,3.824959090761979,4.204158066862036,4.041678429862906,Real,1.726701383311824,1.378733031674208,1.0,1.5099606855087901,1.5540812069890566,1.7292043501924976,1.365837104072398,2.6413998218601686,2.013030309445602,1.0,2.4249621080576227,2.3953304352962643,2.6467105373523334,1.9879518038988888,3.9373768189257534,2.518864203446283,1.0,3.2090017733207516,3.297675228849884,3.962944815847963,2.421418040324994,1.2884836849830805,1.134647283810521,1.0,1.2089899904743366,1.207396588469017,1.2996102281309885,1.130181518290717,5.559270872911375,2.79265772740852,1.0,4.140725169623327,4.195208177533682,5.695101016426081,2.5971841502144546,1.1233048451115157,1.0263951577665713,1.0,1.0982476188107548,1.0864292492049188,1.1261685515880158,1.022900938655125,1.4314088807573535,1.2911603974328292,1.0,1.367729059219433,1.3652105741660825,1.4356362068122355,1.277478618072299,5.094817967874827,2.973671270093021,1.0,4.242222323265948,4.110151726321797,5.179479283812238,2.944690020135743,4.617162992071573,2.974620357585788,1.0,3.7066410455284613,3.851419929860041,4.617358880240837,2.8637623559684924,6.9327807497988285,3.0836438920660885,1.0,4.440082560487067,4.558698871138867,7.236895106760614,2.9969441606726077,5.298612040587698,2.8346931394922956,1.0,4.207126667764076,4.081650156828813,5.506607550698251,2.6329810017867192,2.5436339549111873,1.82380932036614,1.0,2.0862836969962726,2.1544641669720477,2.5663045244016303,1.7681840950339334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arid1a_Lkb1_Rb1,Experiment,1336.4345463000436,374.0455475965243,200.06062443164595,272.76446788198393,475.80598690010214,1373.8906094400338,5190.1769733567735,11685.110599464835,15608.560704545318,18336.49737005687,23471.549976323895,40992.36031242322,3.5927429543619818,1.5361682984643084,1.128393219390491,1.2507049745491636,1.683824520307584,3.11436673171607,5.436586803948997,6.570766573688757,7.5817588662905315,7.016595617354423,7.233158455421611,8.476835764718192,Real,2.143475579383583,1.481326652533557,1.0,1.667055032449046,1.745435731662056,2.165967235319245,1.480269557422258,4.660646298959574,2.950039690490096,1.0,3.9813256413853955,3.849084372859508,4.760607863334109,2.9357901435771243,7.157381488516971,3.70421530209161,1.0,6.20167168806641,5.860086535615141,7.342134732546852,3.6426835672761713,1.4132601992316713,1.2083309688941435,1.0,1.2607217703932991,1.287444789047075,1.4190976484597553,1.2042455086968442,11.308636568665953,4.723728296613028,1.0,6.8056310492061165,7.6634196082018535,11.593987892211118,4.508971684195199,1.2310799378493944,1.0655547118512958,1.0,1.1429690432287478,1.1433735737774424,1.239312438533987,1.0536106892589814,1.7038380611564485,1.4607897160883774,1.0,1.5686250541583857,1.5731471842509979,1.7068550243458136,1.456083918949778,10.251649720479254,5.64024616320564,1.0,7.31847709528535,7.691079076967642,10.324939412780738,5.303572780165994,10.00084694046493,5.9376055918023045,1.0,7.028697996145091,7.643096662364175,10.043556739793564,5.783839093922102,10.940946564878903,5.2260689890764045,1.0,8.534209002772851,8.35368530832803,11.000752878570525,4.503328464919488,9.912836976000982,5.485917014956472,1.0,7.469876882682076,7.517480759941296,10.275159095875573,5.2604958644073605,4.337845136380412,2.281565235906572,1.0,3.1846633629045877,3.3081076040167785,4.453736507453032,2.222104525009048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
